ID,Статистическое время,Средняя скорость ветра(m/s),Нормализованная активная мощность,Средняя температура окружающей среды(°C)
148614,2026-01-25 20:20:00,5.21,0.09,-0.82
148615,2026-01-25 20:30:00,5.78,0.15,-0.95
148616,2026-01-25 20:40:00,6.24,0.18,-1.09
148617,2026-01-25 20:50:00,5.95,0.19,-1.62
148618,2026-01-25 21:00:00,6.09,0.22,-2.4
148619,2026-01-25 21:10:00,6.09,0.23,-2.9
148620,2026-01-25 21:20:00,6.78,0.3,-3.27
148621,2026-01-25 21:30:00,5.4,0.1,-3.57
148622,2026-01-25 21:40:00,6.64,0.2,-3.8
148623,2026-01-25 21:50:00,6.5,0.24,-4.08
148624,2026-01-25 22:00:00,6.8,0.27,-4.24
148625,2026-01-25 22:10:00,6.67,0.24,-4.42
148626,2026-01-25 22:20:00,6.15,0.15,-4.46
148627,2026-01-25 22:30:00,6.66,0.26,-4.56
148628,2026-01-25 22:40:00,7.98,0.55,-4.53
148629,2026-01-25 22:50:00,7.55,0.49,-4.44
148630,2026-01-25 23:00:00,8.84,0.69,-4.25
148631,2026-01-25 23:10:00,7.04,0.4,-4.07
148632,2026-01-25 23:20:00,8.26,0.63,-4.02
148633,2026-01-25 23:30:00,9.17,0.77,-3.69
148634,2026-01-25 23:40:00,8.27,0.6,-3.6
148635,2026-01-25 23:50:00,5.65,0.16,-3.74
148636,2026-01-26 0:00:00,5.6,0.14,-3.83
148637,2026-01-26 0:10:00,6.38,0.2,-3.96
148638,2026-01-26 0:20:00,6.53,0.27,-4.09
148639,2026-01-26 0:30:00,6.73,0.3,-4.16
148640,2026-01-26 0:40:00,6.2,0.22,-3.89
148641,2026-01-26 0:50:00,5.88,0.19,-4.48
148642,2026-01-26 1:00:00,6.47,0.23,-5.06
148643,2026-01-26 1:10:00,6.45,0.23,-5.27
148644,2026-01-26 1:20:00,5.48,0.11,-5.31
148645,2026-01-26 1:30:00,5.92,0.18,-5.28
148646,2026-01-26 1:40:00,5.92,0.17,-5.11
148647,2026-01-26 1:50:00,6.07,0.17,-5.08
148648,2026-01-26 2:00:00,5.35,0.11,-5.04
148649,2026-01-26 2:10:00,6.7,0.29,-5.14
148650,2026-01-26 2:20:00,6.64,0.27,-4.68
148651,2026-01-26 2:30:00,7.01,0.33,-4.68
148652,2026-01-26 2:40:00,7.74,0.47,-4.85
148653,2026-01-26 2:50:00,7.21,0.37,-4.98
148654,2026-01-26 3:00:00,6.68,0.29,-4.9
148655,2026-01-26 3:10:00,6.98,0.34,-4.82
148656,2026-01-26 3:20:00,7.14,0.43,-5.04
148657,2026-01-26 3:30:00,6.87,0.4,-5.14
148658,2026-01-26 3:40:00,6.46,0.25,-5.33
148659,2026-01-26 3:50:00,6.03,0.2,-5.11
148660,2026-01-26 4:00:00,5.65,0.12,-5.67
148661,2026-01-26 4:10:00,7.61,0.38,-5.93
148662,2026-01-26 4:20:00,7,0.34,-6.18
148663,2026-01-26 4:30:00,6.13,0.19,-6.28
148664,2026-01-26 4:40:00,5.81,0.15,-6.34
148665,2026-01-26 4:50:00,5.67,0.14,-6.47
148666,2026-01-26 5:00:00,7.82,0.47,-6.33
148667,2026-01-26 5:10:00,9.27,0.74,-5.37
148668,2026-01-26 5:20:00,7.03,0.39,-5.2
148669,2026-01-26 5:30:00,7.55,0.47,-5.52
148670,2026-01-26 5:40:00,8.59,0.6,-5.15
148671,2026-01-26 5:50:00,8.03,0.51,-5.54
148672,2026-01-26 6:00:00,7.29,0.39,-5.47
148673,2026-01-26 6:10:00,6.35,0.24,-5.68
148674,2026-01-26 6:20:00,6.35,0.26,-5.78
148675,2026-01-26 6:30:00,6.06,0.22,-5.78
148676,2026-01-26 6:40:00,6.03,0.21,-5.58
148677,2026-01-26 6:50:00,6.45,0.3,-5.4
148678,2026-01-26 7:00:00,6.9,0.32,-5.11
148679,2026-01-26 7:10:00,6.47,0.24,-4.81
148680,2026-01-26 7:20:00,5.84,0.15,-5
148681,2026-01-26 7:30:00,5.97,0.2,-4.86
148682,2026-01-26 7:40:00,5.95,0.17,-4.92
148683,2026-01-26 7:50:00,5.86,0.13,-4.69
148684,2026-01-26 8:00:00,5.94,0.17,-4.36
148685,2026-01-26 8:10:00,6,0.16,-4.12
148686,2026-01-26 8:20:00,5.33,0.12,-4.21
148687,2026-01-26 8:30:00,6.13,0.21,-4.15
148688,2026-01-26 8:40:00,6.43,0.25,-3.98
148689,2026-01-26 8:50:00,6.34,0.21,-3.98
148690,2026-01-26 9:00:00,6.39,0.21,-3.8
148691,2026-01-26 9:10:00,6.98,0.31,-3.95
148692,2026-01-26 9:20:00,6.02,0.19,-3.75
148693,2026-01-26 9:30:00,5.89,0.16,-3.71
148694,2026-01-26 9:40:00,7.05,0.33,-3.63
148695,2026-01-26 9:50:00,6.55,0.24,-3.53
148696,2026-01-26 10:00:00,5.69,0.15,-3.24
148697,2026-01-26 10:10:00,6.31,0.18,-2.85
148698,2026-01-26 10:20:00,6.18,0.21,-1.84
148699,2026-01-26 10:30:00,6.48,0.24,-1.57
148700,2026-01-26 10:40:00,7.09,0.34,-1.19
148701,2026-01-26 10:50:00,7.09,0.35,-0.61
148702,2026-01-26 11:00:00,7.05,0.36,0.03
148703,2026-01-26 11:10:00,7.98,0.49,0.71
148704,2026-01-26 11:20:00,8.27,0.57,0.83
148705,2026-01-26 11:30:00,7.95,0.48,1.34
148706,2026-01-26 11:40:00,8.16,0.52,1.75
148707,2026-01-26 11:50:00,8.86,0.63,1.94
148708,2026-01-26 12:00:00,9.07,0.67,2.32
148709,2026-01-26 12:10:00,10.02,0.83,2.38
148710,2026-01-26 12:20:00,10.8,0.95,2.56
148711,2026-01-26 12:30:00,9.8,0.78,2.85
148712,2026-01-26 12:40:00,10.61,0.89,2.85
148713,2026-01-26 12:50:00,11.08,0.96,2.99
148714,2026-01-26 13:00:00,10.18,0.9,3.12
148715,2026-01-26 13:10:00,9.03,0.62,3.59
148716,2026-01-26 13:20:00,9.97,0.79,3.64
148717,2026-01-26 13:30:00,9.62,0.77,3.81
148718,2026-01-26 13:40:00,10.36,0.87,3.97
148719,2026-01-26 13:50:00,10.04,0.83,4.02
148720,2026-01-26 14:00:00,9.78,0.77,4.2
148721,2026-01-26 14:10:00,9.2,0.68,4.42
148722,2026-01-26 14:20:00,9.86,0.8,4.44
148723,2026-01-26 14:30:00,9.3,0.68,4.57
148724,2026-01-26 14:40:00,8.93,0.67,4.68
148725,2026-01-26 14:50:00,10.59,0.9,4.5
148726,2026-01-26 15:00:00,10.92,0.96,4.4
148727,2026-01-26 15:10:00,10.14,0.85,4.54
148728,2026-01-26 15:20:00,10.53,0.89,4.71
148729,2026-01-26 15:30:00,9.53,0.74,4.95
148730,2026-01-26 15:40:00,7.86,0.49,5.18
148731,2026-01-26 15:50:00,8.16,0.5,5.2
148732,2026-01-26 16:00:00,8.44,0.59,5.06
148733,2026-01-26 16:10:00,8.83,0.63,4.87
148734,2026-01-26 16:20:00,9.27,0.74,4.67
148735,2026-01-26 16:30:00,9.56,0.76,4.38
148736,2026-01-26 16:40:00,9.22,0.68,4.37
148737,2026-01-26 16:50:00,9.85,0.81,4.08
148738,2026-01-26 17:00:00,10.2,0.86,3.72
148739,2026-01-26 17:10:00,9.7,0.72,3.69
148740,2026-01-26 17:20:00,8.75,0.56,3.46
148741,2026-01-26 17:30:00,7.42,0.38,3.11
148742,2026-01-26 17:40:00,5.91,0.18,2.7
148743,2026-01-26 17:50:00,5.96,0.2,2.04
148744,2026-01-26 18:00:00,7.51,0.44,1.73
148745,2026-01-26 18:10:00,8.97,0.67,1.92
148746,2026-01-26 18:20:00,8.9,0.68,1.84
148747,2026-01-26 18:30:00,7.77,0.52,1.44
148748,2026-01-26 18:40:00,8.47,0.62,1.21
148749,2026-01-26 18:50:00,9.54,0.79,1.29
148750,2026-01-26 19:00:00,9.46,0.69,1.29
148751,2026-01-26 19:10:00,10.08,0.81,1.32
148752,2026-01-26 19:20:00,11.33,0.98,1.39
148753,2026-01-26 19:30:00,10.52,0.93,1.41
148754,2026-01-26 19:40:00,10.8,0.91,1.28
148755,2026-01-26 19:50:00,10.62,0.91,1.3
148756,2026-01-26 20:00:00,9.41,0.75,1.35
148757,2026-01-26 20:10:00,7.63,0.46,1.26
148758,2026-01-26 20:20:00,7.31,0.42,1.12
148759,2026-01-26 20:30:00,6.44,0.25,0.76
148760,2026-01-26 20:40:00,6.02,0.23,-0.08
148761,2026-01-26 20:50:00,4.69,0.09,-0.39
148762,2026-01-26 21:00:00,4.26,0.06,-1.13
148763,2026-01-26 21:10:00,4.16,0.05,-1.39
148764,2026-01-26 21:20:00,4.45,0.08,-1.26
148765,2026-01-26 21:30:00,4.22,0.06,-2.08
148766,2026-01-26 21:40:00,5.42,0.17,-2.38
148767,2026-01-26 21:50:00,7.75,0.58,-1.32
148768,2026-01-26 22:00:00,7.21,0.47,-1.07
148769,2026-01-26 22:10:00,6.56,0.38,-1.74
148770,2026-01-26 22:20:00,9.15,0.72,-0.57
148771,2026-01-26 22:30:00,9.17,0.76,-0.3
148772,2026-01-26 22:40:00,9.92,0.85,-0.45
148773,2026-01-26 22:50:00,9.75,0.88,-0.34
148774,2026-01-26 23:00:00,10.03,0.91,-0.44
148775,2026-01-26 23:10:00,10.38,0.93,-0.13
148776,2026-01-26 23:20:00,9.6,0.82,-0.49
148777,2026-01-26 23:30:00,10.8,0.95,-0.34
148778,2026-01-26 23:40:00,11.46,0.99,0.6
148779,2026-01-26 23:50:00,10.43,0.96,0.24
148780,2026-01-27 0:00:00,10.28,0.93,-0.03
148781,2026-01-27 0:10:00,10.33,0.95,0.44
148782,2026-01-27 0:20:00,8.28,0.65,-0.58
148783,2026-01-27 0:30:00,9.53,0.78,-1.18
148784,2026-01-27 0:40:00,7.94,0.51,-1.43
148785,2026-01-27 0:50:00,7.41,0.41,-2.33
148786,2026-01-27 1:00:00,8.48,0.61,-2.63
148787,2026-01-27 1:10:00,9.69,0.81,-2.55
148788,2026-01-27 1:20:00,8.97,0.73,-2.68
148789,2026-01-27 1:30:00,8.31,0.59,-2.68
148790,2026-01-27 1:40:00,7.76,0.48,-2.78
148791,2026-01-27 1:50:00,8.28,0.54,-3.01
148792,2026-01-27 2:00:00,7.36,0.43,-2.99
148793,2026-01-27 2:10:00,7.42,0.44,-3.39
148794,2026-01-27 2:20:00,7.32,0.39,-2.9
148795,2026-01-27 2:30:00,6.97,0.32,-2.81
148796,2026-01-27 2:40:00,7.65,0.46,-2.97
148797,2026-01-27 2:50:00,10.3,0.9,-2.24
148798,2026-01-27 3:00:00,11.07,0.99,-1.64
148799,2026-01-27 3:10:00,11.55,0.99,-1.66
148800,2026-01-27 3:20:00,12.08,0.99,-1.51
148801,2026-01-27 3:30:00,11.85,0.97,-1.51
148802,2026-01-27 3:40:00,10.23,0.89,-1.25
148803,2026-01-27 3:50:00,9.53,0.78,-2.1
148804,2026-01-27 4:00:00,9.23,0.75,-2.85
148805,2026-01-27 4:10:00,6.38,0.28,-3.6
148806,2026-01-27 4:20:00,8.45,0.6,-3.87
148807,2026-01-27 4:30:00,8.15,0.51,-4.46
148808,2026-01-27 4:40:00,11.31,0.98,-3.61
148809,2026-01-27 4:50:00,10.44,0.92,-3.17
148810,2026-01-27 5:00:00,8.68,0.67,-3.98
148811,2026-01-27 5:10:00,7.43,0.4,-4.54
148812,2026-01-27 5:20:00,6.43,0.23,-4.8
148813,2026-01-27 5:30:00,6.05,0.23,-4.01
148814,2026-01-27 5:40:00,5.08,0.12,-3.71
148815,2026-01-27 5:50:00,4.59,0.08,-3.67
148816,2026-01-27 6:00:00,4.68,0.09,-3.13
148817,2026-01-27 6:10:00,3.95,0.03,-2.96
148818,2026-01-27 6:20:00,2.49,0.01,-3.14
148819,2026-01-27 6:30:00,2.06,0.01,-3.35
148820,2026-01-27 6:40:00,3.86,0.01,-3.06
148821,2026-01-27 6:50:00,5.04,0.02,-3.91
148822,2026-01-27 7:00:00,4.41,0.04,-3.85
148823,2026-01-27 7:10:00,3.39,0.01,-4.22
148824,2026-01-27 7:20:00,2.68,0,-4.27
148825,2026-01-27 7:30:00,1.44,0.01,-4.73
148826,2026-01-27 7:40:00,0.63,0.01,-5.01
148827,2026-01-27 7:50:00,1.01,0.01,-5.13
148828,2026-01-27 8:00:00,0.98,0.01,-5.59
148829,2026-01-27 8:10:00,1.52,0.01,-6.32
148830,2026-01-27 8:20:00,0.86,0.01,-5.75
148831,2026-01-27 8:30:00,0.44,0.01,-5.43
148832,2026-01-27 8:40:00,0.37,0.01,-5.57
148833,2026-01-27 8:50:00,0.72,0.01,-6.12
148834,2026-01-27 9:00:00,1.21,0.01,-6.47
148835,2026-01-27 9:10:00,1.55,0.01,-6.74
148836,2026-01-27 9:20:00,2.22,0.01,-5.92
148837,2026-01-27 9:30:00,3.18,0,-4.61
148838,2026-01-27 9:40:00,1.49,0.01,-4.66
148839,2026-01-27 9:50:00,1.11,0.01,-4.24
148840,2026-01-27 10:00:00,1.05,0.01,-4.07
148841,2026-01-27 10:10:00,1.82,0.01,-4.45
148842,2026-01-27 10:20:00,2.14,0.01,-3.71
148843,2026-01-27 10:30:00,1.82,0.01,-2.72
148844,2026-01-27 10:40:00,2.18,0.01,-1.66
148845,2026-01-27 10:50:00,1.73,0.01,-0.94
148846,2026-01-27 11:00:00,1.91,0.01,-0.1
148847,2026-01-27 11:10:00,1.94,0.01,0.39
148848,2026-01-27 11:20:00,1.22,0.01,1
148849,2026-01-27 11:30:00,1.08,0.01,1.31
148850,2026-01-27 11:40:00,0.96,0.01,1.93
148851,2026-01-27 11:50:00,1.27,0.01,1.52
148852,2026-01-27 12:00:00,1.5,0.01,1.53
148853,2026-01-27 12:10:00,1.74,0.01,1.15
148854,2026-01-27 12:20:00,2.23,0.01,1.18
148855,2026-01-27 12:30:00,1.78,0.01,1.4
148856,2026-01-27 12:40:00,2,0.01,1.37
148857,2026-01-27 12:50:00,2.11,0.01,1.96
148858,2026-01-27 13:00:00,1.61,0.01,2.58
148859,2026-01-27 13:10:00,1.42,0.01,2.75
148860,2026-01-27 13:20:00,1.4,0.01,2.97
148861,2026-01-27 13:30:00,1.67,0.01,2.99
148862,2026-01-27 13:40:00,1.9,0.01,3.02
148863,2026-01-27 13:50:00,1.58,0.01,3.29
148864,2026-01-27 14:00:00,1.06,0.01,3.77
148865,2026-01-27 14:10:00,0.71,0.01,4.12
148866,2026-01-27 14:20:00,0.99,0.01,4.25
148867,2026-01-27 14:30:00,0.89,0.01,4.39
148868,2026-01-27 14:40:00,0.79,0.01,4.89
148869,2026-01-27 14:50:00,1.05,0.01,5.02
148870,2026-01-27 15:00:00,1.34,0.01,4.75
148871,2026-01-27 15:10:00,1.02,0.01,5.13
148872,2026-01-27 15:20:00,0.9,0.01,4.94
148873,2026-01-27 15:30:00,0.62,0.01,5.31
148874,2026-01-27 15:40:00,0.75,0.01,5
148875,2026-01-27 15:50:00,0.71,0.01,4.27
148876,2026-01-27 16:00:00,1.09,0.01,4.18
148877,2026-01-27 16:10:00,0.96,0.01,3.78
148878,2026-01-27 16:20:00,1.12,0.01,3.59
148879,2026-01-27 16:30:00,0.85,0.01,3.7
148880,2026-01-27 16:40:00,0.87,0.01,3.68
148881,2026-01-27 16:50:00,0.78,0.01,3.84
148882,2026-01-27 17:00:00,0.59,0.01,3.55
148883,2026-01-27 17:10:00,0.6,0.01,2.86
148884,2026-01-27 17:20:00,0.65,0.01,2.55
148885,2026-01-27 17:30:00,0.6,0.01,2.76
148886,2026-01-27 17:40:00,0.78,0.01,2.64
148887,2026-01-27 17:50:00,1.16,0.01,2.37
148888,2026-01-27 18:00:00,0.9,0.01,2.25
148889,2026-01-27 18:10:00,0.72,0.01,2.24
148890,2026-01-27 18:20:00,0.78,0.01,2.13
148891,2026-01-27 18:30:00,0.68,0.01,2.06
148892,2026-01-27 18:40:00,0.54,0.01,1.98
148893,2026-01-27 18:50:00,0.43,0.01,1.93
148894,2026-01-27 19:00:00,1.48,0.01,1.35
148895,2026-01-27 19:10:00,1.36,0.01,1.11
148896,2026-01-27 19:20:00,0.96,0.01,1.1
148897,2026-01-27 19:30:00,1.35,0.01,1.17
148898,2026-01-27 19:40:00,1.6,0.01,1.3
148899,2026-01-27 19:50:00,2.13,0.01,1.06
148900,2026-01-27 20:00:00,4.16,0.01,0.95
148901,2026-01-27 20:10:00,4.79,0.03,0.99
148902,2026-01-27 20:20:00,4.61,0.02,0.99
148903,2026-01-27 20:30:00,4.36,0.02,0.99
148904,2026-01-27 20:40:00,4,0,0.99
148905,2026-01-27 20:50:00,3.85,0,0.99
148906,2026-01-27 21:00:00,3.55,0.01,0.98
148907,2026-01-27 21:10:00,3.17,0,0.86
148908,2026-01-27 21:20:00,2.3,0.01,0.67
148909,2026-01-27 21:30:00,1.96,0,0.61
148910,2026-01-27 21:40:00,1.91,0.01,0.58
148911,2026-01-27 21:50:00,3.84,0.01,0.51
148912,2026-01-27 22:00:00,4.3,0.01,0.3
148913,2026-01-27 22:10:00,3.99,0.01,0.2
148914,2026-01-27 22:20:00,3.49,0,0.19
148915,2026-01-27 22:30:00,2.78,0.01,0.19
148916,2026-01-27 22:40:00,2.22,0.01,0.18
148917,2026-01-27 22:50:00,1.92,0.01,0.2
148918,2026-01-27 23:00:00,1.15,0.01,0.19
148919,2026-01-27 23:10:00,1.09,0.01,0.12
148920,2026-01-27 23:20:00,1.8,0.01,-0.17
148921,2026-01-27 23:30:00,1.18,0.01,-0.06
148922,2026-01-27 23:40:00,1.25,0.01,0.03
148923,2026-01-27 23:50:00,1.2,0.01,0.12
148924,2026-01-28 0:00:00,1.49,0.01,0.08
148925,2026-01-28 0:10:00,1.19,0.01,-0.01
148926,2026-01-28 0:20:00,0.83,0.01,-0.05
148927,2026-01-28 0:30:00,0.92,0.01,-0.1
148928,2026-01-28 0:40:00,1.51,0.01,-0.27
148929,2026-01-28 0:50:00,1.51,0.01,-0.34
148930,2026-01-28 1:00:00,1.4,0.01,-0.41
148931,2026-01-28 1:10:00,1.72,0.01,-0.44
148932,2026-01-28 1:20:00,1.38,0.01,-0.45
148933,2026-01-28 1:30:00,1.59,0.01,-0.51
148934,2026-01-28 1:40:00,1.31,0.01,-0.68
148935,2026-01-28 1:50:00,0.86,0.01,-0.71
148936,2026-01-28 2:00:00,0.68,0.01,-0.74
148937,2026-01-28 2:10:00,1.11,0.01,-0.88
148938,2026-01-28 2:20:00,1.12,0.01,-0.93
148939,2026-01-28 2:30:00,0.75,0.01,-0.86
148940,2026-01-28 2:40:00,0.78,0.01,-0.81
148941,2026-01-28 2:50:00,0.87,0.01,-0.72
148942,2026-01-28 3:00:00,0.98,0.01,-0.73
148943,2026-01-28 3:10:00,0.91,0.01,-0.7
148944,2026-01-28 3:20:00,0.8,0.01,-0.62
148945,2026-01-28 3:30:00,1.01,0.01,-0.61
148946,2026-01-28 3:40:00,1.01,0.01,-0.81
148947,2026-01-28 3:50:00,0.93,0.01,-0.82
148948,2026-01-28 4:00:00,1.28,0.01,-0.95
148949,2026-01-28 4:10:00,1.05,0.01,-1.08
148950,2026-01-28 4:20:00,0.77,0.01,-1.19
148951,2026-01-28 4:30:00,0.57,0.01,-1.27
148952,2026-01-28 4:40:00,0.73,0.01,-1.58
148953,2026-01-28 4:50:00,0.76,0.01,-1.63
148954,2026-01-28 5:00:00,0.78,0.01,-1.62
148955,2026-01-28 5:10:00,0.92,0.01,-1.76
148956,2026-01-28 5:20:00,0.84,0.01,-1.67
148957,2026-01-28 5:30:00,0.92,0.01,-1.78
148958,2026-01-28 5:40:00,1.28,0.01,-1.71
148959,2026-01-28 5:50:00,2.1,0.01,-1.58
148960,2026-01-28 6:00:00,1.32,0.01,-1.32
148961,2026-01-28 6:10:00,1.79,0.01,-1.27
148962,2026-01-28 6:20:00,3.41,0.01,-1.11
148963,2026-01-28 6:30:00,2.82,0.01,-0.96
148964,2026-01-28 6:40:00,2.99,0.01,-0.81
148965,2026-01-28 6:50:00,3.86,0,-0.61
148966,2026-01-28 7:00:00,4.58,0.01,-0.51
148967,2026-01-28 7:10:00,4.38,0.01,-0.52
148968,2026-01-28 7:20:00,4.81,0.02,-0.62
148969,2026-01-28 7:30:00,5.03,0.04,-0.59
148970,2026-01-28 7:40:00,5.12,0.05,-0.51
148971,2026-01-28 7:50:00,5.08,0.05,-0.86
148972,2026-01-28 8:00:00,5.44,0.07,-0.93
148973,2026-01-28 8:10:00,4.9,0.06,-0.93
148974,2026-01-28 8:20:00,4.44,0.03,-0.84
148975,2026-01-28 8:30:00,3.4,0.01,-0.61
148976,2026-01-28 8:40:00,2.07,0.01,-0.72
148977,2026-01-28 8:50:00,0.72,0.01,-0.99
